,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,# of Calls
aten::empty,0.50%,355.782ms,0.50%,355.782ms,6.627us,2.007s,2.90%,2.007s,37.389us,55.31 Gb,55.31 Gb,53687
aten::random_,0.00%,632.000us,0.00%,632.000us,8.427us,225.000us,0.00%,225.000us,3.000us,0 b,0 b,75
aten::item,0.18%,127.140ms,0.20%,139.343ms,8.020us,394.068ms,0.57%,601.817ms,34.637us,0 b,0 b,17375
aten::_local_scalar_dense,0.02%,12.203ms,0.02%,12.203ms,0.702us,208.498ms,0.30%,208.498ms,12.000us,0 b,0 b,17375
[memory],0.00%,0.000us,0.00%,0.000us,0.000us,0.000us,0.00%,0.000us,0.000us,-25.59 Gb,-25.59 Gb,19296
aten::zeros,0.09%,65.401ms,0.11%,75.966ms,18.757us,39.073ms,0.06%,440.485ms,108.762us,15.82 Kb,176 b,4050
aten::zero_,0.02%,16.233ms,0.19%,132.388ms,6.632us,2.446s,3.54%,2.450s,122.735us,0 b,0 b,19962
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...,8.17%,5.757s,16.20%,11.419s,8.156ms,1.943s,2.81%,29.513s,21.081ms,-5.47 Kb,-1.44 Gb,1400
aten::randperm,0.04%,31.198ms,0.11%,74.909ms,749.090us,1.777ms,0.00%,3.498ms,34.980us,2.63 Mb,-400 b,100
aten::scalar_tensor,0.00%,192.000us,0.00%,192.000us,3.840us,150.000us,0.00%,150.000us,3.000us,400 b,400 b,50
aten::resize_,0.00%,27.000us,0.00%,27.000us,0.270us,319.000us,0.00%,319.000us,3.190us,0 b,0 b,100
aten::resolve_conj,0.00%,457.000us,0.00%,457.000us,0.024us,1.788s,2.59%,1.788s,95.623us,0 b,0 b,18700
aten::resolve_neg,0.00%,1.000us,0.00%,1.000us,0.020us,164.000us,0.00%,164.000us,3.280us,0 b,0 b,50
aten::select,5.03%,3.542s,5.22%,3.679s,7.170us,22.250s,32.18%,23.842s,46.471us,0 b,0 b,513050
aten::as_strided,0.28%,194.305ms,0.28%,194.305ms,0.348us,2.997s,4.33%,2.997s,5.365us,0 b,0 b,558500
aten::stack,0.19%,135.690ms,2.34%,1.649s,610.556us,658.228ms,0.95%,2.132s,789.792us,1.44 Gb,0 b,2700
aten::cat,2.07%,1.460s,2.14%,1.506s,557.595us,17.998ms,0.03%,1.466s,542.883us,1.44 Gb,1.44 Gb,2700
aten::narrow,0.03%,19.778ms,0.06%,45.271ms,16.767us,942.729ms,1.36%,1.448s,536.217us,0 b,0 b,2700
aten::slice,0.03%,21.963ms,0.04%,25.493ms,9.442us,16.929ms,0.02%,505.057ms,187.058us,0 b,0 b,2700
aten::view,0.06%,44.047ms,0.06%,44.047ms,6.574us,323.968ms,0.47%,323.968ms,48.353us,0 b,0 b,6700
aten::pin_memory,0.05%,35.039ms,0.40%,285.128ms,105.603us,877.098ms,1.27%,1.583s,586.158us,0 b,0 b,2700
aten::is_pinned,0.07%,48.320ms,0.07%,48.320ms,17.896us,8.419ms,0.01%,8.419ms,3.118us,0 b,0 b,2700
aten::_pin_memory,0.10%,68.968ms,0.29%,201.769ms,74.729us,25.964ms,0.04%,697.109ms,258.189us,0 b,0 b,2700
aten::set_,0.01%,4.227ms,0.01%,4.227ms,1.566us,464.326ms,0.67%,464.326ms,171.973us,0 b,0 b,2700
aten::copy_,0.48%,337.695ms,0.48%,337.695ms,3.218us,796.566ms,1.15%,796.566ms,7.592us,0 b,0 b,104925
aten::to,0.88%,617.707ms,3.34%,2.354s,22.728us,1.389s,2.01%,6.487s,62.627us,2.33 Mb,0 b,103587
aten::conv1d,0.04%,25.036ms,14.45%,10.186s,3.773ms,17.755ms,0.03%,2.019s,747.910us,15.20 Gb,0 b,2700
aten::convolution,0.10%,72.644ms,14.42%,10.161s,3.763ms,322.090ms,0.47%,2.002s,741.334us,15.20 Gb,0 b,2700
aten::_convolution,0.17%,117.224ms,14.31%,10.088s,3.736ms,48.148ms,0.07%,1.680s,622.042us,15.20 Gb,0 b,2700
aten::unsqueeze,0.15%,107.813ms,0.18%,126.682ms,9.489us,1.514s,2.19%,1.555s,116.466us,0 b,0 b,13350
aten::mkldnn_convolution,13.96%,9.838s,14.03%,9.890s,3.663ms,669.856ms,0.97%,694.800ms,257.333us,15.20 Gb,0 b,2700
aten::as_strided_,0.02%,15.072ms,0.02%,15.072ms,1.616us,265.214ms,0.38%,265.214ms,28.441us,0 b,0 b,9325
aten::squeeze,0.08%,57.961ms,0.10%,67.745ms,10.149us,575.278ms,0.83%,595.950ms,89.281us,0 b,0 b,6675
aten::add_,1.28%,905.280ms,2.37%,1.669s,24.714us,1.009s,1.46%,2.539s,37.593us,9.89 Kb,-114.33 Kb,67538
aten::batch_norm,0.03%,22.228ms,5.63%,3.971s,1.471ms,17.866ms,0.03%,1.627s,602.600us,15.20 Gb,0 b,2700
aten::_batch_norm_impl_index,0.09%,64.743ms,5.60%,3.949s,1.463ms,394.883ms,0.57%,1.609s,595.983us,15.20 Gb,0 b,2700
aten::native_batch_norm,5.37%,3.787s,5.51%,3.880s,1.437ms,73.715ms,0.11%,1.206s,446.607us,15.20 Gb,-1.76 Mb,2700
aten::empty_like,0.11%,75.145ms,0.28%,195.374ms,20.898us,1.393s,2.01%,1.422s,152.091us,35.30 Gb,260.14 Mb,9349
aten::relu,0.13%,89.754ms,3.76%,2.653s,655.141us,25.512ms,0.04%,216.869ms,53.548us,15.26 Gb,0 b,4050
aten::clamp_min,3.64%,2.564s,3.64%,2.564s,632.980us,191.357ms,0.28%,191.357ms,47.249us,15.26 Gb,15.26 Gb,4050
aten::linear,0.06%,43.574ms,2.37%,1.667s,617.404us,28.358ms,0.04%,1.248s,462.236us,64.59 Mb,0 b,2700
aten::t,0.18%,129.656ms,0.35%,249.872ms,18.787us,324.003ms,0.47%,3.075s,231.217us,0 b,0 b,13300
aten::transpose,0.14%,101.729ms,0.17%,120.216ms,9.039us,2.590s,3.75%,2.751s,206.846us,0 b,0 b,13300
aten::addmm,2.14%,1.506s,2.21%,1.561s,578.009us,656.662ms,0.95%,818.030ms,302.974us,64.59 Mb,64.59 Mb,2700
aten::expand,0.05%,31.808ms,0.05%,35.729ms,8.877us,25.416ms,0.04%,335.312ms,83.307us,0 b,0 b,4025
aten::cross_entropy_loss,0.07%,49.948ms,0.42%,298.360ms,221.007us,527.702ms,0.76%,1.751s,1.297ms,1.34 Mb,-2.59 Mb,1350
aten::log_softmax,0.03%,21.724ms,0.11%,77.388ms,57.324us,233.838ms,0.34%,242.248ms,179.443us,1.96 Mb,0 b,1350
aten::_log_softmax,0.08%,54.505ms,0.08%,54.505ms,40.374us,4.233ms,0.01%,4.233ms,3.136us,1.96 Mb,1.96 Mb,1350
aten::mul,0.04%,28.257ms,0.04%,28.257ms,10.563us,106.922ms,0.15%,106.922ms,39.971us,3.25 Mb,3.25 Mb,2675
aten::sum,0.22%,153.572ms,0.29%,202.514ms,37.853us,1.331s,1.93%,2.096s,391.769us,357.42 Kb,-1.61 Mb,5350
aten::fill_,0.18%,124.597ms,0.18%,124.597ms,15.573us,321.889ms,0.47%,321.889ms,40.231us,0 b,0 b,8001
aten::neg,0.04%,25.375ms,0.04%,25.375ms,9.486us,111.455ms,0.16%,111.455ms,41.665us,10.45 Kb,10.45 Kb,2675
aten::div,1.06%,749.153ms,1.76%,1.240s,66.743us,361.861ms,0.52%,2.391s,128.730us,2.54 Gb,2.54 Gb,18575
aten::_to_copy,2.02%,1.421s,2.46%,1.737s,17.450us,3.929s,5.68%,5.098s,51.225us,2.33 Mb,150.34 Kb,99525
aten::empty_strided,0.21%,146.664ms,0.21%,146.664ms,1.454us,592.407ms,0.86%,592.407ms,5.873us,6.12 Mb,6.12 Mb,100874
aten::add,0.00%,1.133ms,0.00%,2.037ms,40.740us,332.000us,0.00%,59.089ms,1.182ms,208 b,8 b,50
aten::argmax,0.07%,51.167ms,0.07%,52.385ms,19.402us,17.120ms,0.02%,276.105ms,102.261us,3.91 Mb,3.91 Mb,2700
aten::eq,0.01%,8.920ms,0.01%,8.920ms,6.607us,4.199ms,0.01%,4.199ms,3.110us,250.51 Kb,250.51 Kb,1350
Optimizer.zero_grad#AdamW.zero_grad,0.30%,211.729ms,0.49%,345.089ms,260.445us,64.441ms,0.09%,2.468s,1.862ms,-5.18 Kb,-361.52 Kb,1325
aten::ones_like,0.03%,18.762ms,0.05%,31.837ms,24.028us,13.524ms,0.02%,558.313ms,421.368us,5.18 Kb,0 b,1325
autograd::engine::evaluate_function: DivBackward1,0.02%,14.737ms,0.15%,104.882ms,79.156us,8.858ms,0.01%,1.373s,1.036ms,5.18 Kb,-1.08 Kb,1325
DivBackward1,0.04%,25.673ms,0.13%,90.145ms,68.034us,561.545ms,0.81%,1.364s,1.029ms,6.25 Kb,1.01 Kb,1325
aten::lift_fresh,0.00%,2.361ms,0.00%,2.361ms,1.766us,4.099ms,0.01%,4.099ms,3.066us,0 b,0 b,1337
autograd::engine::evaluate_function: NegBackward0,0.02%,12.898ms,0.04%,28.683ms,21.648us,8.606ms,0.01%,356.512ms,269.066us,88 b,-5.09 Kb,1325
