,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,CUDA Mem,Self CUDA Mem,# of Calls
aten::empty,0.45%,136.058ms,0.45%,136.058ms,3.270us,61.369ms,0.19%,61.369ms,1.475us,3.74 Mb,3.74 Mb,32.86 Gb,32.86 Gb,41612
aten::random_,0.00%,1.324ms,0.00%,1.324ms,17.653us,81.000us,0.00%,81.000us,1.080us,0 b,0 b,0 b,0 b,75
aten::item,0.36%,110.048ms,2.42%,736.100ms,42.365us,902.266ms,2.80%,2.380s,136.961us,0 b,0 b,0 b,0 b,17375
aten::_local_scalar_dense,2.06%,626.052ms,2.06%,626.052ms,36.034us,1.478s,4.58%,1.478s,85.043us,0 b,0 b,0 b,0 b,17374
[memory],0.00%,0.000us,0.00%,0.000us,0.000us,0.000us,0.00%,0.000us,0.000us,-400 b,-400 b,-27.11 Gb,-27.11 Gb,21926
aten::zeros,0.20%,61.147ms,0.26%,78.020ms,19.264us,23.628ms,0.07%,34.769ms,8.585us,15.82 Kb,52 b,0 b,0 b,4050
aten::zero_,0.39%,119.932ms,0.70%,214.068ms,10.724us,54.536ms,0.17%,133.807ms,6.703us,0 b,0 b,0 b,0 b,19962
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...,18.72%,5.693s,37.09%,11.282s,8.059ms,2.455s,7.61%,11.069s,7.907ms,-5.47 Kb,-1.44 Gb,0 b,0 b,1400
aten::randperm,0.02%,5.710ms,0.04%,11.311ms,113.110us,608.000us,0.00%,1.433ms,14.330us,2.63 Mb,-400 b,0 b,0 b,100
aten::scalar_tensor,0.00%,223.000us,0.00%,223.000us,4.460us,78.000us,0.00%,78.000us,1.560us,400 b,400 b,0 b,0 b,50
aten::resize_,0.00%,24.000us,0.00%,24.000us,0.240us,128.000us,0.00%,128.000us,1.280us,0 b,0 b,0 b,0 b,100
aten::resolve_conj,0.00%,18.000us,0.00%,18.000us,0.360us,66.000us,0.00%,66.000us,1.320us,0 b,0 b,0 b,0 b,50
aten::resolve_neg,0.00%,1.000us,0.00%,1.000us,0.020us,70.000us,0.00%,70.000us,1.400us,0 b,0 b,0 b,0 b,50
aten::select,12.57%,3.825s,13.13%,3.994s,7.785us,3.956s,12.26%,8.498s,16.564us,0 b,0 b,0 b,0 b,513050
aten::as_strided,0.74%,224.428ms,0.74%,224.428ms,0.400us,4.615s,14.30%,4.615s,8.223us,0 b,0 b,0 b,0 b,561150
aten::stack,0.54%,164.549ms,3.96%,1.203s,445.623us,36.744ms,0.11%,69.332ms,25.679us,1.44 Gb,0 b,0 b,0 b,2700
aten::cat,3.22%,978.992ms,3.39%,1.030s,381.590us,8.181ms,0.03%,28.547ms,10.573us,1.44 Gb,1.44 Gb,0 b,0 b,2700
aten::narrow,0.08%,24.172ms,0.17%,51.301ms,19.000us,8.211ms,0.03%,20.366ms,7.543us,0 b,0 b,0 b,0 b,2700
aten::slice,0.08%,23.778ms,0.09%,27.129ms,10.048us,8.135ms,0.03%,12.155ms,4.502us,0 b,0 b,0 b,0 b,2700
aten::view,0.15%,46.208ms,0.15%,46.208ms,3.835us,19.768ms,0.06%,19.768ms,1.640us,0 b,0 b,0 b,0 b,12050
aten::pin_memory,0.12%,36.334ms,1.26%,382.292ms,141.590us,13.958ms,0.04%,43.176ms,15.991us,0 b,0 b,0 b,0 b,2700
aten::is_pinned,0.12%,37.828ms,0.12%,37.828ms,14.010us,4.062ms,0.01%,4.062ms,1.504us,0 b,0 b,0 b,0 b,2700
aten::_pin_memory,0.27%,82.449ms,1.01%,308.130ms,114.122us,13.346ms,0.04%,25.156ms,9.317us,0 b,0 b,0 b,0 b,2700
aten::set_,0.02%,6.188ms,0.02%,6.188ms,2.292us,4.009ms,0.01%,4.009ms,1.485us,0 b,0 b,0 b,0 b,2700
