,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,CUDA Mem,Self CUDA Mem,# of Calls
aten::empty,0.34%,13.159ms,0.34%,13.159ms,2.371us,58.196ms,1.49%,58.196ms,10.486us,461.38 Kb,461.38 Kb,196.95 Gb,196.95 Gb,5550
aten::random_,0.05%,1.797ms,0.05%,1.797ms,199.667us,1.876ms,0.05%,1.876ms,208.444us,0 b,0 b,0 b,0 b,9
aten::item,0.35%,13.379ms,6.07%,233.713ms,200.268us,14.312ms,0.37%,30.306ms,25.969us,0 b,0 b,0 b,0 b,1167
aten::_local_scalar_dense,5.72%,220.334ms,5.72%,220.334ms,188.804us,15.994ms,0.41%,15.994ms,13.705us,0 b,0 b,0 b,0 b,1167
[memory],0.00%,0.000us,0.00%,0.000us,0.000us,0.000us,0.00%,0.000us,0.000us,-145.21 Mb,-145.21 Mb,-1.38 Gb,-1.38 Gb,2455
aten::zeros,0.78%,30.099ms,1.30%,50.124ms,36.965us,23.568ms,0.60%,114.000ms,84.071us,2.04 Kb,36 b,9.74 Gb,199.50 Kb,1356
aten::zero_,0.67%,25.763ms,1.24%,47.625ms,18.081us,34.666ms,0.89%,118.570ms,45.015us,0 b,0 b,0 b,0 b,2634
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...,25.96%,999.204ms,53.27%,2.051s,10.052ms,506.045ms,12.95%,1.676s,8.215ms,145.21 Mb,-374.60 Kb,0 b,0 b,204
aten::randperm,0.06%,2.252ms,0.14%,5.296ms,441.333us,2.058ms,0.05%,5.161ms,430.083us,323.44 Kb,-48 b,0 b,0 b,12
aten::scalar_tensor,0.02%,678.000us,0.02%,678.000us,113.000us,714.000us,0.02%,714.000us,119.000us,48 b,48 b,0 b,0 b,6
aten::resize_,0.02%,880.000us,0.02%,880.000us,1.040us,3.052ms,0.08%,3.052ms,3.608us,0 b,0 b,0 b,0 b,846
aten::resolve_conj,0.00%,5.000us,0.00%,5.000us,0.833us,12.000us,0.00%,12.000us,2.000us,0 b,0 b,0 b,0 b,6
aten::resolve_neg,0.00%,1.000us,0.00%,1.000us,0.167us,36.000us,0.00%,36.000us,6.000us,0 b,0 b,0 b,0 b,6
aten::select,23.13%,890.248ms,23.51%,904.809ms,17.374us,624.379ms,15.98%,1.030s,19.773us,0 b,0 b,0 b,0 b,52077
aten::as_strided,0.43%,16.411ms,0.43%,16.411ms,0.293us,424.493ms,10.86%,424.493ms,7.580us,0 b,0 b,0 b,0 b,56004
aten::stack,0.47%,17.984ms,4.09%,157.510ms,397.753us,10.363ms,0.27%,161.348ms,407.444us,145.21 Mb,0 b,0 b,0 b,396
aten::cat,3.31%,127.552ms,3.61%,138.880ms,350.707us,136.092ms,3.48%,149.300ms,377.020us,145.21 Mb,145.21 Mb,0 b,0 b,396
aten::narrow,0.15%,5.680ms,0.29%,11.328ms,28.606us,5.235ms,0.13%,13.208ms,33.354us,0 b,0 b,0 b,0 b,396
