,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,# of Calls
aten::empty,0.56%,416.223ms,0.56%,416.223ms,7.044us,1.797s,2.31%,1.797s,30.411us,50.01 Gb,50.01 Gb,59087
aten::random_,0.00%,2.896ms,0.00%,2.896ms,38.613us,218.000us,0.00%,218.000us,2.907us,0 b,0 b,75
aten::item,0.20%,151.409ms,0.23%,169.196ms,9.573us,128.005ms,0.16%,282.050ms,15.958us,0 b,0 b,17675
aten::_local_scalar_dense,0.02%,17.787ms,0.02%,17.787ms,1.006us,154.270ms,0.20%,154.270ms,8.728us,0 b,0 b,17675
[memory],0.00%,0.000us,0.00%,0.000us,0.000us,0.000us,0.00%,0.000us,0.000us,-18.69 Gb,-18.69 Gb,26782
aten::zeros,0.09%,69.150ms,0.11%,82.734ms,19.019us,1.252s,1.61%,1.278s,293.731us,16.99 Kb,128 b,4350
aten::zero_,0.03%,19.304ms,0.19%,142.437ms,7.030us,64.363ms,0.08%,144.877ms,7.150us,0 b,0 b,20262
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...,6.33%,4.678s,12.77%,9.431s,5.548ms,10.820s,13.92%,26.045s,15.320ms,1.18 Gb,-3.09 Mb,1700
aten::randperm,0.02%,14.570ms,0.04%,30.391ms,303.910us,1.135ms,0.00%,12.114ms,121.140us,2.63 Mb,-400 b,100
aten::scalar_tensor,0.00%,2.072ms,0.00%,2.072ms,41.440us,142.000us,0.00%,142.000us,2.840us,400 b,400 b,50
aten::resize_,0.00%,340.000us,0.00%,340.000us,3.400us,299.000us,0.00%,299.000us,2.990us,0 b,0 b,100
aten::resolve_conj,0.00%,711.000us,0.00%,711.000us,0.036us,135.837ms,0.17%,135.837ms,6.826us,0 b,0 b,19900
aten::resolve_neg,0.00%,3.000us,0.00%,3.000us,0.060us,142.000us,0.00%,142.000us,2.840us,0 b,0 b,50
aten::select,4.48%,3.310s,4.70%,3.469s,8.213us,2.740s,3.52%,13.415s,31.758us,0 b,0 b,422400
aten::as_strided,0.31%,231.188ms,0.31%,231.188ms,0.489us,13.279s,17.08%,13.279s,28.096us,0 b,0 b,472650
aten::stack,0.22%,161.829ms,1.70%,1.259s,381.435us,32.239ms,0.04%,1.793s,543.478us,1.18 Gb,0 b,3300
aten::cat,1.37%,1.012s,1.47%,1.087s,329.263us,388.526ms,0.50%,1.693s,512.952us,1.18 Gb,1.18 Gb,3300
aten::narrow,0.04%,28.267ms,0.10%,74.300ms,22.515us,20.550ms,0.03%,1.304s,395.217us,0 b,0 b,3300
aten::slice,0.06%,42.397ms,0.06%,46.033ms,13.949us,1.274s,1.64%,1.284s,388.990us,0 b,0 b,3300
aten::view,0.08%,60.904ms,0.08%,60.904ms,8.014us,92.758ms,0.12%,92.758ms,12.205us,0 b,0 b,7600
aten::to,0.88%,646.406ms,3.46%,2.553s,24.295us,3.159s,4.06%,8.082s,76.906us,1.99 Mb,0 b,105087
aten::conv1d,0.04%,32.753ms,13.85%,10.228s,3.099ms,669.484ms,0.86%,3.015s,913.529us,12.51 Gb,0 b,3300
aten::convolution,0.12%,88.938ms,13.80%,10.195s,3.089ms,20.969ms,0.03%,2.345s,710.655us,12.51 Gb,0 b,3300
aten::_convolution,0.22%,164.037ms,13.68%,10.106s,3.062ms,855.717ms,1.10%,2.324s,704.301us,12.51 Gb,0 b,3300
aten::unsqueeze,0.15%,110.311ms,0.18%,135.263ms,9.296us,88.671ms,0.11%,699.048ms,48.045us,0 b,0 b,14550
aten::mkldnn_convolution,13.23%,9.773s,13.33%,9.850s,2.985ms,42.192ms,0.05%,1.122s,339.863us,12.51 Gb,0 b,3300
aten::as_strided_,0.03%,20.073ms,0.03%,20.073ms,2.022us,324.197ms,0.42%,324.197ms,32.665us,0 b,0 b,9925
aten::squeeze,0.09%,65.191ms,0.11%,78.571ms,10.800us,44.251ms,0.06%,295.224ms,40.581us,0 b,0 b,7275
aten::add_,1.38%,1.020s,2.51%,1.854s,27.326us,2.289s,2.94%,4.169s,61.459us,7.73 Kb,-116.49 Kb,67838
aten::batch_norm,0.04%,30.314ms,5.79%,4.275s,1.296ms,487.962ms,0.63%,2.047s,620.450us,12.51 Gb,0 b,3300
aten::_batch_norm_impl_index,0.12%,86.077ms,5.75%,4.245s,1.286ms,32.142ms,0.04%,1.560s,472.583us,12.51 Gb,0 b,3300
aten::native_batch_norm,5.48%,4.045s,5.62%,4.153s,1.258ms,1.062s,1.37%,1.408s,426.763us,12.51 Gb,-2.05 Mb,3300
aten::empty_like,0.12%,91.886ms,0.32%,233.372ms,23.457us,60.459ms,0.08%,837.512ms,84.181us,32.61 Gb,186.41 Mb,9949
aten::relu,0.16%,118.546ms,4.02%,2.967s,599.361us,815.718ms,1.05%,830.403ms,167.758us,12.56 Gb,0 b,4950
aten::clamp_min,3.86%,2.848s,3.86%,2.848s,575.413us,14.685ms,0.02%,14.685ms,2.967us,12.56 Gb,12.56 Gb,4950
aten::linear,0.08%,57.419ms,2.33%,1.724s,522.388us,641.693ms,0.83%,1.533s,464.559us,53.17 Mb,0 b,3300
aten::t,0.21%,151.625ms,0.39%,289.574ms,20.833us,3.023s,3.89%,4.950s,356.128us,0 b,0 b,13900
aten::transpose,0.16%,117.603ms,0.19%,137.949ms,9.924us,292.198ms,0.38%,1.927s,138.653us,0 b,0 b,13900
aten::addmm,2.03%,1.503s,2.14%,1.580s,478.649us,54.865ms,0.07%,633.306ms,191.911us,53.17 Mb,53.17 Mb,3300
