,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,CUDA Mem,Self CUDA Mem,# of Calls
aten::empty,0.35%,67.962ms,0.35%,67.962ms,1.503us,61.891ms,0.30%,61.891ms,1.369us,3.56 Mb,3.56 Mb,28.73 Gb,28.73 Gb,45212
aten::random_,0.01%,2.185ms,0.01%,2.185ms,29.133us,92.000us,0.00%,92.000us,1.227us,0 b,0 b,0 b,0 b,75
aten::item,0.31%,60.244ms,3.53%,689.309ms,38.999us,316.151ms,1.53%,1.415s,80.066us,0 b,0 b,0 b,0 b,17675
aten::_local_scalar_dense,3.22%,629.065ms,3.22%,629.065ms,35.593us,1.101s,5.34%,1.101s,62.296us,0 b,0 b,0 b,0 b,17674
[memory],0.00%,0.000us,0.00%,0.000us,0.000us,0.000us,0.00%,0.000us,0.000us,-1.18 Gb,-1.18 Gb,-18.73 Gb,-18.73 Gb,30158
aten::zeros,0.18%,34.621ms,0.22%,43.724ms,10.051us,21.701ms,0.11%,33.824ms,7.776us,16.99 Kb,228 b,0 b,0 b,4350
aten::zero_,0.28%,54.133ms,0.52%,101.395ms,5.004us,50.651ms,0.25%,123.516ms,6.096us,0 b,0 b,0 b,0 b,20262
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...,11.82%,2.309s,26.15%,5.109s,3.005ms,1.077s,5.22%,4.948s,2.911ms,1.18 Gb,-3.05 Mb,0 b,0 b,1700
aten::randperm,0.03%,5.076ms,0.05%,10.541ms,105.410us,557.000us,0.00%,1.306ms,13.060us,2.63 Mb,161.33 Kb,0 b,0 b,100
aten::scalar_tensor,0.00%,652.000us,0.00%,652.000us,13.040us,59.000us,0.00%,59.000us,1.180us,400 b,400 b,0 b,0 b,50
aten::resize_,0.00%,182.000us,0.00%,182.000us,1.820us,127.000us,0.00%,127.000us,1.270us,0 b,0 b,0 b,0 b,100
aten::resolve_conj,0.00%,17.000us,0.00%,17.000us,0.340us,60.000us,0.00%,60.000us,1.200us,0 b,0 b,0 b,0 b,50
aten::resolve_neg,0.00%,1.000us,0.00%,1.000us,0.020us,55.000us,0.00%,55.000us,1.100us,0 b,0 b,0 b,0 b,50
aten::select,8.77%,1.714s,10.34%,2.019s,4.781us,1.416s,6.87%,3.814s,9.028us,0 b,0 b,0 b,0 b,422400
aten::as_strided,1.67%,326.552ms,1.67%,326.552ms,0.687us,2.474s,11.99%,2.474s,5.205us,0 b,0 b,0 b,0 b,475300
aten::stack,0.46%,90.576ms,3.95%,772.503ms,234.092us,13.789ms,0.07%,49.965ms,15.141us,1.18 Gb,0 b,0 b,0 b,3300
aten::cat,3.30%,644.296ms,3.47%,676.905ms,205.123us,9.038ms,0.04%,31.834ms,9.647us,1.18 Gb,1.18 Gb,0 b,0 b,3300
aten::narrow,0.08%,15.632ms,0.17%,32.609ms,9.882us,9.105ms,0.04%,22.796ms,6.908us,0 b,0 b,0 b,0 b,3300
aten::slice,0.08%,15.838ms,0.09%,16.977ms,5.145us,9.464ms,0.05%,13.691ms,4.149us,0 b,0 b,0 b,0 b,3300
aten::view,0.15%,28.953ms,0.15%,28.953ms,2.137us,18.472ms,0.09%,18.472ms,1.363us,0 b,0 b,0 b,0 b,13550
