,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,CUDA Mem,Self CUDA Mem,# of Calls
aten::empty,1.73%,799.980ms,1.73%,799.980ms,3.934us,318.630ms,0.63%,318.630ms,1.567us,2.73 Gb,2.73 Gb,181.74 Mb,181.74 Mb,203357
aten::random_,0.00%,34.000us,0.00%,34.000us,11.333us,6.000us,0.00%,6.000us,2.000us,0 b,0 b,0 b,0 b,3
aten::item,0.33%,154.984ms,22.46%,10.398s,669.452us,54.433ms,0.11%,5.952s,383.221us,0 b,0 b,0 b,0 b,15532
aten::_local_scalar_dense,22.12%,10.243s,22.12%,10.243s,659.473us,5.898s,11.66%,5.898s,379.716us,0 b,0 b,0 b,0 b,15532
[memory],0.00%,0.000us,0.00%,0.000us,0.000us,0.000us,0.00%,0.000us,0.000us,-3.02 Gb,-3.02 Gb,-13.68 Gb,-13.68 Gb,215379
aten::zeros,2.88%,1.334s,3.92%,1.814s,38.935us,219.927ms,0.43%,605.750ms,13.004us,12 b,0 b,22.74 Mb,186.00 Kb,46581
aten::zero_,0.33%,152.151ms,0.64%,295.942ms,4.765us,171.726ms,0.34%,336.568ms,5.419us,0 b,0 b,0 b,0 b,62108
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...,0.36%,164.675ms,0.75%,348.834ms,116.278ms,54.231ms,0.11%,355.918ms,118.639ms,-12 b,-49.48 Mb,0 b,0 b,3
aten::randperm,0.00%,63.000us,0.00%,162.000us,81.000us,19.000us,0.00%,50.000us,25.000us,53.91 Kb,-8 b,0 b,0 b,2
aten::scalar_tensor,0.00%,18.000us,0.00%,18.000us,18.000us,3.000us,0.00%,3.000us,3.000us,8 b,8 b,0 b,0 b,1
aten::resize_,0.19%,87.161ms,0.19%,87.161ms,1.403us,97.792ms,0.19%,97.792ms,1.575us,137.51 Mb,137.51 Mb,180.27 Mb,180.27 Mb,62109
aten::resolve_conj,0.00%,1.000us,0.00%,1.000us,1.000us,3.000us,0.00%,3.000us,3.000us,0 b,0 b,0 b,0 b,1
aten::resolve_neg,0.00%,0.000us,0.00%,0.000us,0.000us,3.000us,0.00%,3.000us,3.000us,0 b,0 b,0 b,0 b,1
aten::select,0.99%,457.679ms,1.06%,491.527ms,9.609us,363.117ms,0.72%,460.376ms,9.000us,0 b,0 b,0 b,0 b,51154
aten::as_strided,1.31%,604.339ms,1.31%,604.339ms,2.168us,809.937ms,1.60%,809.937ms,2.906us,0 b,0 b,0 b,0 b,278747
aten::stack,0.01%,3.084ms,0.22%,102.470ms,25.617ms,28.000us,0.00%,96.000us,24.000us,49.42 Mb,0 b,0 b,0 b,4
aten::cat,0.73%,338.871ms,0.73%,338.926ms,21.820us,137.254ms,0.27%,137.297ms,8.839us,49.42 Mb,49.42 Mb,1.47 Gb,1.47 Gb,15533
aten::narrow,1.14%,525.948ms,3.08%,1.427s,30.624us,143.720ms,0.28%,367.079ms,7.880us,0 b,0 b,0 b,0 b,46582
aten::slice,3.29%,1.524s,3.90%,1.805s,15.781us,366.307ms,0.72%,543.208ms,4.749us,0 b,0 b,0 b,0 b,114386
aten::view,0.03%,14.558ms,0.03%,14.558ms,0.937us,24.897ms,0.05%,24.897ms,1.603us,0 b,0 b,0 b,0 b,15532
aten::pin_memory,0.00%,57.000us,0.01%,5.391ms,1.348ms,28.000us,0.00%,79.000us,19.750us,0 b,0 b,0 b,0 b,4
aten::is_pinned,0.00%,106.000us,0.00%,106.000us,26.500us,7.000us,0.00%,7.000us,1.750us,0 b,0 b,0 b,0 b,4
aten::_pin_memory,0.00%,129.000us,0.01%,5.228ms,1.307ms,27.000us,0.00%,44.000us,11.000us,0 b,0 b,0 b,0 b,4
aten::set_,0.01%,3.761ms,0.01%,3.761ms,0.242us,24.265ms,0.05%,24.265ms,1.562us,0 b,0 b,0 b,0 b,15530
aten::copy_,17.55%,8.127s,17.55%,8.127s,72.858us,20.835s,41.20%,20.835s,186.778us,0 b,0 b,0 b,0 b,111552
aten::to,1.78%,822.572ms,21.60%,10.000s,207.934us,155.958ms,0.31%,20.925s,435.105us,0 b,0 b,2.99 Gb,0 b,48092
aten::_to_copy,2.16%,999.701ms,19.82%,9.177s,190.834us,244.360ms,0.48%,20.769s,431.871us,0 b,0 b,2.99 Gb,386.00 Kb,48091
aten::empty_strided,1.00%,460.896ms,1.00%,460.896ms,7.245us,99.389ms,0.20%,99.389ms,1.562us,0 b,0 b,3.17 Gb,3.17 Gb,63618
aten::ones,0.68%,313.838ms,0.83%,386.354ms,24.880us,73.278ms,0.14%,123.022ms,7.922us,29.55 Mb,1.86 Mb,0 b,0 b,15529
aten::fill_,0.37%,172.386ms,0.37%,172.386ms,2.776us,189.917ms,0.38%,189.917ms,3.058us,0 b,0 b,0 b,0 b,62109
aten::div,0.00%,167.000us,0.00%,167.000us,55.667us,98.000us,0.00%,98.000us,32.667us,0 b,0 b,3.87 Mb,3.87 Mb,3
aten::t,0.05%,21.337ms,0.09%,43.001ms,9.545us,14.799ms,0.03%,37.620ms,8.351us,0 b,0 b,0 b,0 b,4505
aten::transpose,1.03%,475.801ms,1.26%,581.273ms,16.344us,116.662ms,0.23%,169.806ms,4.775us,0 b,0 b,0 b,0 b,35564
aten::matmul,1.01%,465.460ms,2.41%,1.116s,32.761us,111.979ms,0.22%,839.264ms,24.643us,0 b,0 b,3.73 Gb,0 b,34057
aten::mm,1.40%,650.265ms,1.40%,650.265ms,19.093us,727.285ms,1.44%,727.285ms,21.355us,0 b,0 b,3.73 Gb,3.73 Gb,34057
aten::add,0.28%,128.523ms,0.28%,128.523ms,7.549us,133.032ms,0.26%,133.032ms,7.813us,0 b,0 b,1.82 Gb,1.82 Gb,17026
aten::rand,0.04%,19.786ms,4.09%,1.893s,1.262ms,7.519ms,0.01%,12.551ms,8.367us,1.45 Gb,43.44 Mb,0 b,0 b,1500
aten::uniform_,3.67%,1.699s,3.67%,1.699s,1.133ms,2.481ms,0.00%,2.481ms,1.654us,0 b,0 b,0 b,0 b,1500
aten::mul,0.46%,211.886ms,0.46%,211.886ms,12.445us,156.205ms,0.31%,156.205ms,9.174us,0 b,0 b,2.04 Gb,2.04 Gb,17026
aten::add_,0.02%,10.280ms,0.02%,10.280ms,6.853us,73.259ms,0.14%,73.259ms,48.839us,0 b,0 b,0 b,0 b,1500
aten::tanh,0.03%,14.351ms,0.03%,14.351ms,9.567us,27.857ms,0.06%,27.857ms,18.571us,0 b,0 b,1.45 Gb,1.45 Gb,1500
aten::reshape,0.00%,536.000us,0.00%,1.985ms,330.833us,21.000us,0.00%,28.000us,4.667us,0 b,0 b,0 b,0 b,6
aten::_reshape_alias,0.00%,1.449ms,0.00%,1.449ms,241.500us,7.000us,0.00%,7.000us,1.167us,0 b,0 b,0 b,0 b,6
aten::numpy_T,0.89%,410.669ms,1.73%,800.870ms,25.791us,97.430ms,0.19%,244.362ms,7.869us,0 b,0 b,0 b,0 b,31052
aten::permute,0.80%,370.038ms,0.84%,390.201ms,12.566us,98.468ms,0.19%,146.730ms,4.725us,0 b,0 b,0 b,0 b,31052
aten::eye,1.36%,628.828ms,2.46%,1.140s,36.701us,146.803ms,0.29%,342.405ms,11.027us,308.10 Mb,16.54 Mb,0 b,0 b,31052
aten::linalg_lstsq,19.12%,8.855s,117.20%,54.267s,1.748ms,17.023s,33.66%,49.896s,1.607ms,0 b,0 b,304.14 Mb,-199.81 Mb,31052
aten::transpose_,0.25%,117.148ms,0.26%,118.810ms,7.652us,49.013ms,0.10%,73.329ms,4.723us,0 b,0 b,0 b,0 b,15526
aten::as_strided_,0.00%,1.664ms,0.00%,1.664ms,0.107us,24.520ms,0.05%,24.520ms,1.579us,0 b,0 b,0 b,0 b,15528
aten::mT,0.76%,350.060ms,1.96%,909.634ms,29.292us,95.389ms,0.19%,245.053ms,7.891us,0 b,0 b,0 b,0 b,31054
aten::expand,1.25%,576.690ms,1.29%,598.505ms,19.273us,102.542ms,0.20%,149.024ms,4.799us,0 b,0 b,0 b,0 b,31054
aten::arange,2.55%,1.180s,4.15%,1.921s,30.926us,324.151ms,0.64%,645.113ms,10.387us,0 b,0 b,30.36 Mb,4.89 Mb,62106
aten::_linalg_check_errors,0.45%,208.939ms,26.78%,12.400s,798.602us,91.460ms,0.18%,6.484s,417.620us,0 b,0 b,1.60 Mb,-6.64 Mb,15527
aten::any,1.97%,914.488ms,3.88%,1.795s,115.579us,98.331ms,0.19%,443.153ms,28.541us,0 b,0 b,8.25 Mb,680.50 Kb,15527
aten::view_as,0.33%,151.256ms,0.36%,165.200ms,10.640us,48.513ms,0.10%,73.403ms,4.727us,0 b,0 b,0 b,0 b,15527
