,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,# of Calls
aten::empty,0.75%,105.742ms,0.75%,105.742ms,0.563us,629.777ms,4.26%,629.777ms,3.353us,3.00 Gb,3.00 Gb,187828
aten::random_,0.01%,1.380ms,0.01%,1.380ms,460.000us,5.000us,0.00%,5.000us,1.667us,0 b,0 b,3
aten::item,0.44%,61.967ms,0.45%,63.076ms,4.061us,100.972ms,0.68%,150.754ms,9.705us,0 b,0 b,15534
aten::_local_scalar_dense,0.01%,1.109ms,0.01%,1.109ms,0.071us,50.843ms,0.34%,50.843ms,3.273us,0 b,0 b,15534
[memory],0.00%,0.000us,0.00%,0.000us,0.000us,0.000us,0.00%,0.000us,0.000us,-12.55 Gb,-12.55 Gb,200457
aten::zeros,0.88%,123.901ms,0.96%,134.952ms,8.690us,148.038ms,1.00%,241.616ms,15.559us,60.66 Kb,11.42 Kb,15529
aten::zero_,0.03%,4.916ms,0.05%,7.065ms,0.228us,93.137ms,0.63%,93.138ms,2.999us,0 b,0 b,31054
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...,0.80%,112.407ms,1.96%,276.474ms,92.158ms,106.803ms,0.72%,308.138ms,102.713ms,-12 b,-49.48 Mb,3
aten::randperm,0.01%,1.540ms,0.02%,3.295ms,1.647ms,10.000us,0.00%,25.000us,12.500us,53.91 Kb,-8 b,2
aten::scalar_tensor,0.00%,485.000us,0.00%,485.000us,485.000us,2.000us,0.00%,2.000us,2.000us,8 b,8 b,1
aten::resize_,0.22%,30.585ms,0.22%,30.585ms,0.394us,260.842ms,1.76%,260.842ms,3.360us,204.80 Mb,204.80 Mb,77632
aten::resolve_conj,0.00%,238.000us,0.00%,238.000us,0.003us,577.741ms,3.90%,577.741ms,8.299us,0 b,0 b,69614
aten::resolve_neg,0.00%,0.000us,0.00%,0.000us,0.000us,2.000us,0.00%,2.000us,2.000us,0 b,0 b,1
aten::select,2.96%,416.386ms,3.04%,428.499ms,5.213us,763.349ms,5.16%,1.125s,13.686us,0 b,0 b,82206
aten::as_strided,0.30%,41.731ms,0.30%,41.731ms,0.159us,1.410s,9.53%,1.410s,5.359us,0 b,0 b,263214
aten::stack,0.03%,4.541ms,0.30%,42.046ms,10.511ms,18.000us,0.00%,60.000us,15.000us,49.42 Mb,0 b,4
aten::cat,2.34%,329.757ms,2.34%,330.087ms,21.251us,52.719ms,0.36%,52.765ms,3.397us,1.52 Gb,1.52 Gb,15533
aten::narrow,1.26%,178.036ms,2.69%,378.561ms,8.126us,270.928ms,1.83%,738.313ms,15.849us,0 b,0 b,46585
aten::slice,3.97%,559.338ms,4.09%,576.313ms,5.038us,1.243s,8.40%,1.767s,15.444us,0 b,0 b,114389
aten::view,0.18%,25.764ms,0.18%,25.764ms,0.332us,253.139ms,1.71%,253.139ms,3.261us,0 b,0 b,77636
aten::pin_memory,0.01%,887.000us,0.26%,36.448ms,9.112ms,18.000us,0.00%,67.704ms,16.926ms,0 b,0 b,4
aten::is_pinned,0.02%,3.123ms,0.02%,3.123ms,780.750us,5.000us,0.00%,5.000us,1.250us,0 b,0 b,4
aten::_pin_memory,0.19%,26.599ms,0.23%,32.438ms,8.110ms,67.668ms,0.46%,67.681ms,16.920ms,0 b,0 b,4
aten::set_,0.01%,1.536ms,0.01%,1.536ms,0.099us,45.863ms,0.31%,45.863ms,2.953us,0 b,0 b,15530
aten::copy_,3.70%,521.496ms,3.70%,521.496ms,5.431us,476.373ms,3.22%,476.373ms,4.961us,0 b,0 b,96017
aten::to,0.83%,116.369ms,3.63%,511.525ms,7.855us,423.019ms,2.86%,1.244s,19.106us,149.08 Kb,0 b,65119
