,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,# of Calls
aten::empty,0.03%,71.275ms,0.03%,71.275ms,31.057us,84.601ms,0.04%,84.601ms,36.863us,9.84 Gb,9.84 Gb,2295
aten::random_,0.00%,127.000us,0.00%,127.000us,14.111us,30.000us,0.00%,30.000us,3.333us,0 b,0 b,9
aten::item,0.01%,21.043ms,0.01%,22.523ms,19.300us,19.494ms,0.01%,29.699ms,25.449us,0 b,0 b,1167
aten::_local_scalar_dense,0.00%,1.480ms,0.00%,1.480ms,1.268us,10.205ms,0.00%,10.205ms,8.745us,0 b,0 b,1167
[memory],0.00%,0.000us,0.00%,0.000us,0.000us,0.000us,0.00%,0.000us,0.000us,-1.73 Gb,-1.73 Gb,8639
aten::zeros,0.02%,45.249ms,0.43%,915.703ms,764.998us,26.209ms,0.01%,944.104ms,788.725us,9.73 Gb,31.25 Mb,1197
aten::zero_,0.01%,17.000ms,0.39%,831.395ms,358.979us,24.011ms,0.01%,887.031ms,383.001us,0 b,0 b,2316
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...,0.53%,1.138s,1.10%,2.348s,11.509ms,702.606ms,0.32%,2.344s,11.491ms,145.21 Mb,-377.70 Kb,204
aten::randperm,0.00%,812.000us,0.00%,2.133ms,177.750us,621.000us,0.00%,1.767ms,147.250us,323.44 Kb,-48 b,12
aten::scalar_tensor,0.00%,22.000us,0.00%,22.000us,3.667us,57.000us,0.00%,57.000us,9.500us,48 b,48 b,6
aten::resize_,0.00%,247.000us,0.00%,247.000us,1.176us,1.166ms,0.00%,1.166ms,5.552us,0 b,0 b,210
aten::resolve_conj,0.01%,11.531ms,0.01%,11.531ms,0.019us,3.468s,1.58%,3.468s,5.810us,0 b,0 b,596934
aten::resolve_neg,0.00%,0.000us,0.00%,0.000us,0.000us,18.000us,0.00%,18.000us,3.000us,0 b,0 b,6
aten::select,2.06%,4.405s,2.11%,4.513s,19.643us,4.407s,2.01%,6.390s,27.812us,0 b,0 b,229743
aten::as_strided,0.34%,723.106ms,0.34%,723.106ms,0.964us,5.672s,2.59%,5.672s,7.564us,0 b,0 b,749907
aten::stack,0.06%,138.863ms,1.70%,3.635s,3.823ms,91.991ms,0.04%,3.666s,3.855ms,11.05 Gb,0 b,951
aten::cat,1.62%,3.463s,1.63%,3.493s,3.673ms,3.545s,1.62%,3.570s,3.754ms,11.05 Gb,11.05 Gb,951
aten::narrow,0.01%,13.798ms,0.01%,29.735ms,39.489us,8.674ms,0.00%,24.921ms,33.096us,0 b,0 b,753
aten::slice,0.01%,29.005ms,0.01%,30.980ms,21.118us,19.854ms,0.01%,29.895ms,20.378us,0 b,0 b,1467
aten::view,0.11%,245.075ms,0.11%,245.075ms,3.034us,874.808ms,0.40%,874.808ms,10.831us,0 b,0 b,80769
aten::to,0.04%,91.180ms,0.14%,297.322ms,53.284us,108.736ms,0.05%,356.425ms,63.875us,217.45 Kb,0 b,5580
aten::rnn_tanh,7.85%,16.826s,31.97%,68.501s,345.966ms,11.978s,5.47%,68.518s,346.052ms,11.02 Gb,-13.28 Gb,198
aten::cudnn_is_acceptable,0.00%,68.000us,0.00%,68.000us,0.343us,2.374ms,0.00%,2.374ms,11.990us,0 b,0 b,198
aten::transpose,3.19%,6.844s,3.42%,7.330s,17.506us,6.366s,2.91%,9.300s,22.211us,0 b,0 b,418707
aten::unbind,0.93%,1.984s,1.84%,3.933s,9.933ms,1.168s,0.53%,3.930s,9.925ms,0 b,0 b,396
aten::linear,1.60%,3.434s,14.97%,32.073s,322.677us,2.018s,0.92%,32.340s,325.363us,12.20 Gb,0 b,99396
aten::t,3.48%,7.465s,6.90%,14.786s,35.345us,6.825s,3.11%,16.118s,38.528us,0 b,0 b,418350
aten::matmul,0.01%,22.567ms,0.28%,596.120ms,3.011ms,7.191ms,0.00%,636.012ms,3.212ms,6.16 Gb,-28.56 Mb,198
aten::reshape,0.01%,10.847ms,0.04%,95.726ms,268.140us,8.235ms,0.00%,100.706ms,282.090us,145.02 Mb,0 b,357
aten::clone,0.00%,8.095ms,0.04%,82.066ms,414.475us,4.677ms,0.00%,89.430ms,451.667us,145.02 Mb,0 b,198
aten::empty_like,0.00%,10.639ms,0.02%,40.261ms,76.252us,7.921ms,0.00%,49.950ms,94.602us,145.31 Mb,20 b,528
aten::copy_,0.50%,1.081s,0.50%,1.081s,10.293us,1.478s,0.67%,1.478s,14.067us,0 b,0 b,105051
aten::_unsafe_view,0.00%,2.693ms,0.00%,2.693ms,6.801us,2.649ms,0.00%,2.649ms,6.689us,0 b,0 b,396
aten::mm,19.88%,42.610s,19.89%,42.617s,267.162us,43.984s,20.07%,46.225s,289.784us,15.75 Gb,15.75 Gb,159516
aten::add_,0.78%,1.675s,0.83%,1.786s,17.302us,2.336s,1.07%,2.470s,23.930us,492 b,-6.97 Kb,103200
aten::addmm,10.09%,21.614s,11.20%,23.997s,241.906us,21.169s,9.66%,25.443s,256.492us,6.04 Gb,6.04 Gb,99198
aten::expand,0.78%,1.676s,0.84%,1.801s,18.160us,1.397s,0.64%,2.129s,21.461us,0 b,0 b,99198
aten::tanh,5.81%,12.452s,5.81%,12.452s,125.779us,16.420s,7.49%,16.420s,165.863us,6.04 Gb,6.04 Gb,99000
aten::transpose_,0.00%,4.780ms,0.00%,5.144ms,25.980us,3.535ms,0.00%,4.594ms,23.202us,0 b,0 b,198
aten::as_strided_,0.00%,364.000us,0.00%,364.000us,1.838us,1.059ms,0.00%,1.059ms,5.348us,0 b,0 b,198
aten::broadcast_tensors,0.00%,290.000us,0.00%,290.000us,1.465us,1.086ms,0.00%,1.086ms,5.485us,0 b,0 b,198
aten::mse_loss,0.01%,16.522ms,0.03%,55.071ms,278.136us,12.126ms,0.01%,52.256ms,263.919us,202.00 Kb,6.00 Kb,198
aten::mean,0.00%,6.902ms,0.02%,37.504ms,189.414us,8.447ms,0.00%,36.745ms,185.581us,0 b,-376 b,198
aten::sum,1.82%,3.897s,1.90%,4.071s,50.750us,3.730s,1.70%,4.284s,53.401us,38.90 Mb,38.71 Mb,80214
aten::fill_,0.46%,976.378ms,0.46%,976.378ms,12.100us,1.403s,0.64%,1.403s,17.383us,0 b,0 b,80691
aten::div_,0.00%,9.462ms,0.01%,21.142ms,103.637us,4.325ms,0.00%,18.823ms,92.270us,380 b,-436 b,204
aten::_to_copy,0.09%,184.560ms,0.10%,206.142ms,39.811us,146.559ms,0.07%,247.689ms,47.835us,217.45 Kb,10.47 Kb,5178
aten::empty_strided,0.00%,10.286ms,0.00%,10.286ms,1.923us,51.137ms,0.02%,51.137ms,9.560us,342.60 Kb,342.60 Kb,5349
aten::add,9.33%,19.998s,9.33%,19.998s,84.015us,25.688s,11.72%,25.689s,107.924us,9.72 Gb,9.72 Gb,238029
aten::argmax,0.01%,12.610ms,0.01%,12.921ms,32.629us,12.529ms,0.01%,23.770ms,60.025us,396.00 Kb,396.00 Kb,396
aten::eq,0.00%,2.731ms,0.00%,2.731ms,13.793us,3.958ms,0.00%,3.958ms,19.990us,24.75 Kb,24.75 Kb,198
Optimizer.zero_grad#Adam.zero_grad,0.01%,28.635ms,0.01%,30.091ms,189.252us,21.697ms,0.01%,30.376ms,191.044us,-636 b,-43.93 Kb,159
aten::ones_like,0.00%,5.571ms,0.00%,10.119ms,63.642us,3.506ms,0.00%,11.403ms,71.717us,636 b,0 b,159
autograd::engine::evaluate_function: MseLossBackward...,0.00%,3.286ms,0.01%,24.041ms,151.201us,1.613ms,0.00%,14.244ms,89.585us,159.00 Kb,0 b,159
MseLossBackward0,0.00%,4.255ms,0.01%,20.755ms,130.535us,1.960ms,0.00%,12.631ms,79.440us,159.00 Kb,0 b,159
aten::mse_loss_backward,0.00%,8.435ms,0.01%,18.995ms,59.733us,5.115ms,0.00%,12.939ms,40.689us,159.00 Kb,0 b,318
aten::zeros_like,0.00%,5.051ms,0.00%,8.624ms,50.433us,2.726ms,0.00%,6.278ms,36.713us,294.02 Kb,0 b,171
autograd::engine::evaluate_function: AddmmBackward0,4.18%,8.955s,35.95%,77.047s,967.214us,5.011s,2.29%,79.294s,995.417us,257.76 Mb,-14.37 Gb,79659
AddmmBackward0,3.37%,7.223s,25.03%,53.647s,673.462us,4.179s,1.91%,54.906s,689.260us,9.70 Gb,0 b,79659
autograd::engine::evaluate_function: struct torch::a...,0.01%,16.885ms,0.03%,63.599ms,66.666us,11.111ms,0.01%,43.853ms,45.968us,-10.42 Mb,-56.18 Kb,954
struct torch::autograd::AccumulateGrad,0.02%,36.521ms,0.02%,46.714ms,48.966us,23.922ms,0.01%,32.742ms,34.321us,-10.36 Mb,-10.36 Mb,954
aten::detach,0.00%,74.000us,0.00%,92.000us,15.333us,46.000us,0.00%,65.000us,10.833us,0 b,0 b,6
detach,0.00%,18.000us,0.00%,18.000us,3.000us,19.000us,0.00%,19.000us,3.167us,0 b,0 b,6
autograd::engine::evaluate_function: TBackward0,4.26%,9.134s,10.53%,22.570s,282.772us,7.345s,3.35%,22.727s,284.738us,-4.72 Gb,-9.56 Gb,79818
TBackward0,0.63%,1.343s,1.93%,4.127s,51.709us,1.314s,0.60%,4.479s,56.113us,0 b,0 b,79818
autograd::engine::evaluate_function: SliceBackward0,0.17%,357.167ms,0.60%,1.292s,4.064ms,359.181ms,0.16%,1.313s,4.128ms,0 b,-4.86 Gb,318
SliceBackward0,0.00%,5.021ms,0.44%,935.227ms,2.941ms,3.011ms,0.00%,953.543ms,2.999ms,4.86 Gb,0 b,318
aten::slice_backward,0.01%,20.672ms,0.43%,930.206ms,2.925ms,21.583ms,0.01%,950.532ms,2.989ms,4.86 Gb,0 b,318
autograd::engine::evaluate_function: SelectBackward0...,0.00%,3.593ms,0.20%,425.441ms,2.676ms,1.939ms,0.00%,435.369ms,2.738ms,4.84 Gb,-9.94 Mb,159
SelectBackward0,0.00%,2.421ms,0.20%,421.848ms,2.653ms,1.687ms,0.00%,433.430ms,2.726ms,4.85 Gb,0 b,159
aten::select_backward,0.00%,8.340ms,0.20%,419.427ms,2.638ms,3.765ms,0.00%,431.743ms,2.715ms,4.85 Gb,0 b,159
autograd::engine::evaluate_function: TransposeBackwa...,0.00%,2.659ms,0.00%,9.466ms,59.535us,1.668ms,0.00%,4.835ms,30.409us,0 b,0 b,159
TransposeBackward1,0.00%,2.749ms,0.00%,6.807ms,42.811us,1.290ms,0.00%,3.167ms,19.918us,0 b,0 b,159
autograd::engine::evaluate_function: StackBackward0,0.02%,38.918ms,1.41%,3.013s,18.947ms,34.115ms,0.02%,3.004s,18.892ms,0 b,0 b,159
StackBackward0,0.66%,1.408s,1.39%,2.974s,18.702ms,767.387ms,0.35%,2.970s,18.678ms,0 b,0 b,159
